seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
327,64.51597114,11.35593847,30,-8.369836426,0.97677002,-0.111254883,14.3661499,-20.753479,-0.662231445
328,64.89038374,11.35593847,30,-9.369934082,1.105969238,1.015649414,5.992126465,-9.121704102,-5.938720703
329,63.95435224,11.38756083,30,-8.973364258,1.271655273,0.65736084,6.034851074,10.49957275,0.117492676
330,59.1571908,11.36383502,30,-10.59313965,1.14185791,0.376831055,7.647705078,-11.28997803,-25.09002686
331,61.70787664,11.3954815,30,-9.708483887,1.062304688,0.721960449,7.946777344,-3.823852539,-9.014892578
332,60.2804286,11.3954815,30,-9.256884766,1.393078613,0.170471191,13.70391846,4.635620117,4.261779785
333,61.5908727,11.3954815,30,-9.1109375,1.308740234,0.077758789,-0.384521484,-18.4463501,2.157592773
334,60.58463884,11.4034082,30,-9.92800293,0.674707031,1.281225586,1.50604248,-7.092285156,-7.968139648
335,65.7094113,11.41927975,30,-9.962097168,0.697436523,0.463562012,5.46875,-0.54473877,-1.762390137
336,60.72504356,11.41134095,30,-9.682763672,0.930712891,0.62565918,9.901428223,-7.284545898,-6.376647949
337,60.2804286,11.41927975,30,-9.003869629,0.947460938,1.296777344,0.566101074,-7.637023926,1.538085938
338,66.55183965,11.44313249,30,-9.682763672,1.225,1.011462402,9.602355957,-12.79602051,-17.04711914
339,63.15872546,11.45906464,30,-9.517675781,0.90559082,1.631140137,8.555603027,-11.65313721,-7.637023926
340,62.31629711,11.44313249,30,-8.609692383,0.991723633,1.86920166,2.018737793,-13.25531006,-1.890563965
341,68.02608926,11.45109553,30,-9.669604492,0.613696289,1.864416504,7.412719727,-21.90704346,-15.90423584
342,67.2070617,11.46703983,30,-9.492553711,1.04017334,2.48170166,7.263183594,-5.426025391,-6.996154785
343,71.81701684,11.48300846,30,-9.040356445,0.886450195,1.769311523,6.846618652,-8.149719238,-2.445983887
344,66.38803414,11.50700709,30,-9.104956055,0.83560791,2.297473145,8.352661133,-8.074951172,-4.443359375
345,69.78114833,11.49900145,30,-9.269445801,1.099389648,2.440429688,-0.192260742,4.357910156,-3.791809082
346,67.46447036,11.52303669,30,-9.616369629,0.836206055,2.359082031,6.098937988,-11.34338379,-10.6918335
347,63.69694358,11.52303669,30,-9.066674805,1.012658691,2.365661621,8.096313477,-5.223083496,-7.604980469
348,73.40827039,11.55516929,30,-9.599621582,1.214831543,1.673608398,11.23657227,1.623535156,-7.797241211
349,63.20552704,11.55516929,30,-8.96439209,1.290795898,2.314819336,5.639648438,-11.58905029,-7.508850098
350,74.78891685,11.53909074,30,-9.399243164,1.217224121,1.381115723,11.36474609,-4.859924316,0.010681152
351,62.22269396,11.53909074,30,-9.406420898,0.919946289,2.093505859,9.495544434,-6.387329102,-6.312561035
352,63.60334043,11.55516929,30,-9.14921875,0.692053223,2.417700195,3.108215332,-7.562255859,-4.037475586
353,70.2023625,11.57127237,30,-9.465637207,0.830822754,1.181933594,15.09246826,-2.648925781,-2.360534668
354,62.59710656,11.56321776,30,-9.28918457,0.926525879,2.400952148,4.913330078,-5.009460449,-8.203125
355,59.25079395,11.57127237,30,-9.116918945,0.630444336,2.457775879,-1.388549805,6.51550293,3.268432617
356,70.81078298,11.59547306,30,-9.709680176,1.114343262,1.049145508,6.932067871,0.512695313,0.662231445
357,60.74844435,11.59547306,30,-9.43692627,0.832019043,2.11204834,10.07232666,-7.615661621,-6.312561035
358,60.81864671,11.60355226,30,-9.304736328,0.594555664,2.479907227,0.651550293,-13.51165771,2.787780762
359,73.29126645,11.61163763,30,-9.354382324,1.40324707,1.573120117,10.2645874,-5.458068848,-5.137634277
360,62.62050735,11.62782685,30,-9.165368652,0.626257324,2.884851074,0.619506836,-11.69586182,-4.635620117
361,59.1571908,11.62782685,30,-9.189294434,0.423486328,2.961413574,2.467346191,-9.43145752,-3.642272949
362,63.15872546,11.62782685,30,-9.000280762,0.473132324,2.691052246,6.761169434,-9.516906738,-4.315185547
363,64.74997901,11.63593073,30,-9.1875,1.044360352,3.031396484,4.005432129,-8.555603027,-4.913330078
364,65.73281209,11.64404078,30,-9.890319824,1.290197754,2.344128418,5.639648438,9.623718262,-6.643676758
365,63.62674121,11.64404078,30,-8.240637207,0.602929688,1.89432373,4.379272461,-22.88970947,-4.037475586
366,70.08535856,11.64404078,30,-9.673193359,1.28302002,1.433752441,10.09368896,-27.37579346,-28.75366211
367,63.76714594,11.65215702,30,-9.442907715,0.592163086,3.046350098,1.602172852,-12.79602051,-2.210998535
368,65.28819713,11.66027944,30,-8.991308594,1.152026367,2.965002441,-0.907897949,20.2835083,1.399230957
369,68.75151368,11.66027944,30,-9.773681641,1.019238281,1.818359375,13.57574463,-30.95397949,-27.65350342
370,65.10099083,11.67654288,30,-9.16237793,0.521582031,3.1390625,5.618286133,-13.14849854,-12.3260498
371,67.46447036,11.70098456,30,-8.79152832,0.408532715,2.388391113,8.683776855,2.969360352,8.299255371
372,61.28666246,11.70914422,30,-9.141442871,0.503637695,2.997302246,2.691650391,-11.73858643,-9.474182129
373,61.9652853,11.70098456,30,-8.863305664,0.420495605,3.587670898,5.223083496,-17.04711914,-7.113647461
374,71.8872192,11.7254822,30,-8.810070801,0.703417969,2.438635254,15.32745361,15.49835205,9.153747559
375,62.48010263,11.7254822,30,-9.139648438,0.427075195,3.464453125,6.814575195,-11.22589111,-7.006835938
376,68.42390265,11.7173101,30,-9.613378906,0.966601563,3.739599609,2.424621582,9.111022949,-10.09368896
377,70.03855699,11.7173101,30,-8.400341797,0.736315918,2.57800293,7.850646973,-26.73492432,-17.15393066
378,65.05418925,11.75003592,30,-9.241333008,0.410925293,3.78326416,4.64630127,-11.10839844,-9.367370605
379,62.48010263,11.75003592,30,-8.122802734,1.19987793,3.634924316,1.132202148,3.482055664,3.952026367
380,64.14155854,11.75823298,30,-8.619262695,0.955236816,3.612792969,9.666442871,-6.932067871,-6.953430176
381,68.8919184,11.77464586,30,-7.96907959,1.419995117,3.149230957,13.6505127,7.936096191,3.749084473
382,69.43013651,11.76643629,30,-8.589355469,1.105371094,3.264074707,3.578186035,-21.52252197,-6.430053711
383,70.2023625,11.78286168,30,-8.126391602,1.30814209,3.409423828,-3.791809082,-23.81896973,-10.02960205
384,63.74374515,11.78286168,30,-8.978149414,0.808093262,3.942370605,4.304504395,-6.846618652,-6.611633301
385,74.6953137,11.79108377,30,-9.060693359,0.896020508,3.575109863,7.872009277,2.980041504,-1.890563965
386,71.77021526,11.80754676,30,-8.6515625,1.229785156,3.195288086,6.451416016,-27.20489502,-9.580993652
387,56.65330654,11.81578767,30,-8.690441895,0.952246094,3.999194336,3.108215332,-8.715820313,-6.002807617
388,68.3302995,11.79108377,30,-9.097180176,1.242944336,3.375927734,26.88446045,-11.64245605,-16.79077148
389,63.79054673,11.81578767,30,-9.686950684,-0.331970215,5.110546875,-17.15393066,13.06304932,7.092285156
390,60.35063096,11.82403487,30,-8.342919922,0.622070313,4.849755859,2.200317383,-9.880065918,-1.997375488
391,58.15095694,11.84881421,30,-8.537316895,0.734521484,4.624255371,3.482055664,-1.100158691,-5.116271973
392,60.04642073,11.84881421,30,-7.789038086,0.785961914,4.788146973,6.558227539,-14.16320801,-2.317810059
393,73.22106409,11.83228835,30,-8.729919434,0.782373047,4.988525391,-17.20733643,15.85083008,9.986877441
394,60.16342466,11.84881421,30,-8.981738281,0.888244629,4.359875488,2.210998535,-25.13275146,-8.288574219
395,54.8514459,11.86536527,30,-8.32677002,0.654968262,4.478308105,2.296447754,-7.604980469,-5.928039551
396,64.42236799,11.88194159,30,-8.432641602,1.286608887,3.466845703,14.84680176,-25.730896,-28.78570557
397,58.47856796,11.89023923,30,-8.503222656,0.946862793,4.142749023,6.451416016,-11.4074707,-6.227111816
398,77.73741608,11.90685349,30,-8.654553223,0.993518066,3.288598633,-2.894592285,11.57836914,17.27142334
399,61.26326168,11.89854319,30,-8.86270752,1.012060547,3.034387207,11.06567383,-21.54388428,-16.83349609
400,51.17752226,11.89854319,30,-8.587561035,0.736315918,4.407128906,3.652954102,-6.387329102,-5.628967285
401,77.97142395,11.90685349,30,-9.547583008,1.522875977,2.679089355,13.15917969,-7.818603516,-14.1418457
402,58.47856796,11.90685349,30,-8.567224121,0.603527832,3.781469727,10.30731201,-13.28735352,-6.782531738
403,73.85288535,11.91517013,30,-9.21262207,0.89901123,4.174450684,12.7532959,14.53704834,2.841186523
