seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
155,31.59106313,12.46083891,60,4.423876953,0.712390137,8.088708496,-2.253723145,-4.518127441,-3.343200684
156,36.43502614,12.46957797,60,4.215124512,-1.320703125,8.959606934,16.32080078,64.74914551,-27.5894165
157,33.83753873,12.46957797,60,3.663635254,2.195788574,8.003173828,-4.774475098,0.341796875,1.281738281
158,33.06531274,12.50460088,60,2.747875977,1.853051758,8.28848877,11.54632568,-1.377868652,-16.72668457
159,31.825071,12.52215243,60,5.956921387,0.250622559,8.419482422,7.647705078,-15.70129395,-13.61846924
160,33.81413794,12.49583514,60,5.145239258,1.319506836,8.214916992,9.196472168,-0.437927246,-13.41552734
161,26.44288988,12.52215243,60,5.23795166,1.021630859,8.476904297,9.848022461,-1.86920166,-7.743835449
162,36.27122063,12.50460088,60,6.592150879,-0.105273438,7.833300781,-4.251098633,-11.37542725,0.341796875
163,31.40385683,12.52215243,60,5.83190918,1.155615234,7.597631836,10.2645874,-3.749084473,-5.65032959
164,45.8655435,12.54852996,60,6.57779541,-0.801513672,7.744775391,-1.281738281,-13.37280273,8.224487305
165,32.26968596,12.53973074,60,7.143041992,-0.173461914,5.403039551,12.71057129,-14.19525146,-10.92681885
166,37.51146236,12.55733588,60,5.61418457,0.812280273,8.400341797,5.83190918,-2.745056152,-4.721069336
167,32.78450329,12.56614851,60,5.63392334,1.220214844,8.158093262,5.682373047,-8.02154541,-4.432678223
168,34.91397495,12.57496787,60,5.760131836,-0.881066895,7.358374023,-13.41552734,-42.16918945,-8.641052246
169,45.42092854,12.56614851,60,7.305737305,0.640612793,6.826623535,5.308532715,9.965515137,1.121520996
170,41.32579073,12.58379395,60,8.189794922,1.461865234,5.852844238,1.708984375,-7.028198242,-6.184387207
171,34.35235605,12.58379395,60,7.67598877,0.581396484,6.126794434,9.004211426,15.08178711,-2.745056152
172,37.30085528,12.59262676,60,6.662731934,0.213537598,5.92043457,-11.24725342,-39.01824951,-24.56665039
173,35.12458204,12.58379395,60,7.084423828,0.495263672,6.676489258,9.324645996,-6.120300293,-3.55682373
174,32.50369384,12.58379395,60,7.677185059,-0.357092285,7.762719727,-12.34741211,2.59552002,24.8336792
175,16.77836464,12.60146631,60,8.82322998,-0.257800293,4.622460938,1.794433594,37.43743896,-19.41833496
176,37.86247418,12.60146631,60,8.117419434,-1.361975098,4.308435059,12.50762939,81.88171387,-34.10491943
177,39.19631906,12.64576525,60,6.993505859,0.203967285,7.144238281,4.293823242,-5.169677734,-1.805114746
178,34.4459592,12.63689195,60,7.089208984,-0.420495605,6.951037598,12.39013672,5.735778809,-8.715820313
179,32.59729699,12.66353215,60,6.228479004,0.380419922,7.33145752,12.98828125,16.82281494,-25.77362061
180,30.46782533,12.65464532,60,5.673999023,1.249523926,8.119812012,15.13519287,-21.75750732,-12.63580322
181,34.6331655,12.67242577,60,6.871484375,1.445715332,7.156201172,-1.847839355,-5.32989502,-28.10211182
182,32.78450329,12.68132616,60,7.967285156,1.829125977,5.513696289,-5.906677246,-23.80828857,-16.24603271
183,35.569197,12.69023334,60,7.192089844,0.270959473,6.835595703,-1.292419434,22.76153564,-1.559448242
184,38.35389071,12.69023334,60,6.814660645,0.645397949,6.427062988,1.313781738,-11.79199219,-8.641052246
185,37.93267654,12.69023334,60,6.194384766,1.358984375,7.306335449,5.992126465,-14.32342529,-6.985473633
186,39.92174348,12.68132616,60,6.945056152,1.97746582,6.276330566,-5.618286133,-5.191040039,-8.52355957
187,42.65963561,12.70806809,60,8.412902832,1.314123535,4.860522461,9.954833984,-2.926635742,4.592895508
188,39.40692615,12.70806809,60,8.07076416,1.385900879,5.830114746,7.476806641,-5.906677246,-8.993530273
189,40.83437419,12.73487123,60,7.958911133,1.389489746,5.92043457,6.248474121,-4.635620117,-2.819824219
190,41.41939388,12.73487123,60,7.711877441,1.250720215,6.033483887,1.292419434,-9.783935547,-4.710388184
191,42.91704428,12.73487123,60,8.253198242,1.107165527,5.191296387,5.511474609,-8.918762207,-6.141662598
192,40.69396946,12.74381924,60,7.930200195,1.114343262,5.625549316,4.112243652,-11.99493408,-4.934692383
193,41.79380648,12.73487123,60,8.509802246,1.147241211,5.789440918,11.82403564,1.762390137,12.83874512
194,43.8062742,12.74381924,60,7.856628418,1.24473877,5.353393555,4.859924316,-11.24725342,-5.564880371
195,36.24781984,12.73487123,60,8.510400391,0.870300293,5.926416016,8.139038086,6.451416016,3.770446777
196,34.93737574,12.75277408,60,7.763916016,0.869104004,6.302648926,-0.128173828,-5.928039551,-4.090881348
197,37.83907339,12.75277408,60,7.641296387,0.112451172,6.052624512,0.085449219,-5.030822754,-3.385925293
198,34.35235605,12.77070423,60,7.76451416,0.42109375,5.71706543,5.426025391,-8.609008789,-8.56628418
199,36.64563323,12.74381924,60,8.533129883,0.788354492,5.203259277,8.790588379,-8.715820313,2.467346191
200,39.45372773,12.74381924,60,7.991809082,1.418200684,5.716467285,14.8147583,7.006835938,-8.288574219
201,36.71583559,12.77070423,60,7.384094238,1.100585938,6.351696777,-5.522155762,-23.84033203,4.486083984
202,29.7658017,12.78866174,60,7.042553711,2.180236816,6.68605957,31.03942871,23.06060791,-6.942749023
203,0.702023625,12.79765077,60,6.413305664,0.929516602,7.004272461,7.968139648,-3.759765625,-7.177734375
